Record span /1000,0-2,2-4,4-6,6-8,8-10,10-12,12-14,14-16,16-18,18-20,20-22,22-24,24-26,26-28,28-30
01aug19,B/B/B,,,,,,,,,,,,,,
02aug19,B/A/A,C/B/A,A/A/A,A/A/A,A/A/A,,,,,,,,,,
06aug19,B/B/B,B/B/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,
07aug19,B/B/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,,
08aug19,B/B/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,
12aug19,A/B/A,,,,,,,,,,,,,,
13aug19,A/A/A,A/A/A,A/A/A,,,,,,,,,,,,
15aug19,B/B/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,,,
16aug19,B/B/B,B/A/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,,,
19aug19,B/B/B,A/A/A,A/A/A,,,,,,,,,,,,
20aug19,B/B/B,B/A/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,,,,,
21aug19,B/B/B,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,A/A/A,,,,,,
XXX,Keep the three X's,This ,is ,the,dividing,line,,,,,,,,,
Times for overlaps,,,,,,,,,,,,,,,
01aug19,2019-08-01T19:29:32/2019-08-01T20:03:05,,,,,,,,,,,,,,
02aug19,2019-08-02T19:27:44/2019-08-02T20:04:26,2019-08-02T20:04:26/2019-08-02T20:38:18,2019-08-02T20:38:18/2019-08-02T21:17:36,2019-08-02T21:17:36/2019-08-02T21:50:59,2019-08-02T21:50:59/2019-08-02T22:27:48,,,,,,,,,,
06aug19,2019-08-06T16:33:18/2019-08-06T17:06:47,2019-08-06T17:06:47/2019-08-06T17:40:13,2019-08-06T17:40:13/2019-08-06T18:13:35,2019-08-06T18:13:35/2019-08-06T18:49:23,2019-08-06T18:49:23/2019-08-06T19:23:53,2019-08-06T19:23:53/2019-08-06T20:03:53,2019-08-06T20:03:53/2019-08-06T20:38:10,2019-08-06T20:38:10/2019-08-06T21:13:39,2019-08-06T21:13:39/2019-08-06T21:47:30,2019-08-06T21:47:30/2019-08-06T22:20:51,2019-08-06T22:20:51/2019-08-06T22:54:20,,,,
07aug19,2019-08-07T16:28:59/2019-08-07T17:02:20,2019-08-07T17:02:20/2019-08-07T17:35:40,2019-08-07T17:35:40/2019-08-07T18:09:43,2019-08-07T18:09:43/2019-08-07T18:44:12,2019-08-07T18:44:12/2019-08-07T19:17:32,2019-08-07T19:17:32/2019-08-07T19:54:15,2019-08-07T19:54:15/2019-08-07T20:32:01,2019-08-07T20:32:01/2019-08-07T21:09:40,2019-08-07T21:09:40/2019-08-07T21:43:00,2019-08-07T21:43:00/2019-08-07T22:16:20,,,,,
